Temperature (°C), Pressure (PSIA)
0.0,0.0886
0.56,0.0922
1.11,0.096
1.67,0.0999
2.22,0.1039
2.78,0.1081
3.33,0.1125
3.89,0.117
4.44,0.1216
5.0,0.1265
5.56,0.1314
6.11,0.1366
6.67,0.1419
7.22,0.1474
7.78,0.1531
8.33,0.159
8.89,0.1651
9.44,0.1714
10.0,0.178
10.56,0.1847
11.11,0.1916
11.67,0.1988
12.22,0.2063
12.78,0.2133
13.33,0.2218
13.89,0.23
14.44,0.2384
15.0,0.2471
15.56,0.2561
16.67,0.2749
17.78,0.2948
18.89,0.3163
20.0,0.3389
21.11,0.3629
23.89,0.4296
26.67,0.5068
29.44,0.5968
32.22,0.6981
35.0,0.8153
37.78,0.9492
43.33,1.275
48.89,1.6927
54.44,2.223
60.0,2.8892
65.56,3.7184
71.11,4.7414
76.67,5.9926
82.22,7.511
87.78,9.34
93.33,11.526
98.89,14.123
104.44,17.186
110.0,20.779
115.56,24.968
120.0,28.815
130.0,39.201
140.0,52.437
150.0,69.061
160.0,89.667
180.0,145.44
200.0,225.52
210.0,254.33
220.0,284.0
230.0,316.59
240.0,350.58
250.0,386.38
260.0,425.24
270.0,466.18
280.0,507.03
290.0,552.5
300.0,601.01
310.0,650.08
320.0,708.2
330.0,767.77
340.0,826.68
350.0,901.16
360.0,971.54
370.0,1055.05
