Temperature_C,SG_15_6C
0.1,1.00083
1.0,1.00089
4.0,1.00096
10.0,1.00069
15.0,1.00009
20.0,0.99919
25.0,0.99803
30.0,0.99663
35.0,0.995
40.0,0.9932
45.0,0.9912
50.0,0.989
55.0,0.9867
60.0,0.9842
65.0,0.9815
70.0,0.9787
75.0,0.9758
80.0,0.9727
85.0,0.9696
90.0,0.9663
95.0,0.9628
99.0,0.96
99.974,0.9593
100.0,0.9593
110.0,0.9519
120.0,0.944
140.0,0.927
160.0,0.9083
180.0,0.8879
200.0,0.8655
220.0,0.841
240.0,0.8142
260.0,0.7844
280.0,0.751
300.0,0.7128
320.0,0.6677
340.0,0.6113
360.0,0.5281
374.0,0.322
