Valve Size (inch),0,10,20,30,40,50,60,70,80,90,100
4,0,110,235,389,532,656,759,791,803,811,817
6,0,229,552,1038,1390,1527,1594,1643,1670,1691,1700
8,0,405,979,1843,2466,2706,2827,2913,2961,2998,3014
10,0,634,1531,2883,3856,4233,4420,4552,4629,4686,4710
12,0,1034,2496,4701,6888,6902,7207,7422,7548,7641,7680
14,0,1381,3335,6280,8400,9224,9624,9911,10083,10209,10260
16,0,1804,4355,8202,10971,12047,12569,12944,13170,13333,13400
18,0,2302,5558,10467,14000,15373,16040,16519,16806,17015,17100
20,0,3405,8223,15486,20713,22745,23731,24440,24865,25174,25300
24,0,4215,10180,19171,25642,28157,29378,30255,30781,31164,31320
30,0,6737,16270,30641,40983,45003,46954,48356,49197,49809,50058
36,0,9882,23866,44945,60116,66013,68875,70931,72164,73062,73428
42,0,15103,36477,68694,91881,100893,105268,108411,110296,111668,112227
48,0,23457,56654,106690,142703,156699,163494,168375,171302,173434,174302
54,0,34423,83137,156564,209411,229951,239922,247084,251380,254508,255782
